Id_Externo__c,Lote_M2__c,Valor_Total__c,Cuota_Entrada__c,Ubicacion__c,Asesor_Comercial__c,Cuenta__r.Id_Externo__c,Grupo_de_Venta__c,Nombre_del_Proyecto__c,Pagos_Vencidos__c,Modelo_Casa__c,Plantas__c,Estado_Contrato__c,Categoria_Producto__c
51,145,44631,6694.65,Machala,Maria Fernanda,74619967-4cb5-45fa-93a4-a9f130ad437e,Equipo 2,Ciudad Celeste,0,Ventto,1,PAGO,VILLA
52,159,100744,14104.16,Naranjito,Miguel Angel,90e19c35-0c12-4908-9df1-edbbe82212ab,Equipo 1,Playa Arenas,0,Acqua,1,PAGO,VILLA
53,37,170362,8518.1,Guayaquil,Maria Fernanda,1ec5d1e0-2c50-404d-9fc2-cb51a5017415,Equipo 2,Ciudad Celeste,4,Spiaggia,1,PAGO,DEPARTAMENTO
54,77,110985,16647.75,Cuenca,Miguel Angel,209a96e7-c760-4f59-a493-12e0933604f8,Equipo 3,Parque Azul,4,Spiaggia,2,RESCILIADO,VILLA
55,200,117645,9411.6,Guayaquil,Miguel Angel,105717a0-a6bd-4905-9cee-fc7e1cb86ae5,Equipo 2,Playa Arenas,4,Isola,1,RESCILIADO,VILLA
56,37,151816,9108.96,Cuenca,Maria Jose,8d8b5bb2-6974-4b62-ba4d-a9a4d4971ad7,Equipo 2,Ciudad Celeste,4,Ventto,2,RESCILIADO,DEPARTAMENTO
57,190,88643,7977.87,Machala,Maria Jose,8ce74c68-76c9-44a8-9550-1f43bf4afd70,Equipo 2,Ciudad Celeste,5,Spiaggia,1,RESCILIADO,VILLA
58,136,40788,4894.56,Machala,Maria Fernanda,74ffee24-4129-4fff-b665-1a3af5b72367,Equipo 1,Parque Azul,0,Marinella,1,PAGO,VILLA
59,133,14901,1639.11,Santo Domingo,Miguel Angel,68131956-54e1-44d7-95e5-4cb358c13090,Equipo 3,Parque Azul,0,Spiaggia,2,RESCILIADO,DEPARTAMENTO
60,134,12624,1767.36,Guayaquil,Miguel Angel,0ed44fb1-f1ab-4d68-92cb-eed7a4939af5,Equipo 1,Playa Arenas,4,Ventto,1,PAGO,DEPARTAMENTO
61,97,122835,17196.9,Quito,Maria Fernanda,4c7f84c5-c736-480c-966d-fad842059e4f,Equipo 2,Parque Azul,2,Marinella,1,RESCILIADO,VILLA
62,164,83312,10830.56,Santo Domingo,Maria Carmen,5e74b040-f2a7-4f0b-9334-d968cf467358,Equipo 3,Ciudad Celeste,3,Marinella,1,PAGO,VILLA
63,159,143891,11511.28,Naranjito,Miguel Angel,f041ba1b-cb29-4b8d-a139-a78fe5221cc3,Equipo 1,Playa Arenas,1,Marinella,3,RESCILIADO,DEPARTAMENTO
64,131,166951,11686.57,Naranjito,Maria Fernanda,d8141fc0-2fea-4ffe-8e7f-3368f00ada39,Equipo 3,Playa Arenas,1,Marinella,2,PAGO,DEPARTAMENTO
65,116,82897,6631.76,Santo Domingo,Maria Carmen,2b4087d3-d500-46ea-877b-f02a107b13bc,Equipo 2,Playa Arenas,5,Spiaggia,1,PAGO,VILLA
66,139,144167,8650.02,Guayaquil,Miguel Angel,bab0b493-ba3c-4f8e-acd8-e459d5000b12,Equipo 3,Playa Arenas,1,Marinella,1,PAGO,DEPARTAMENTO
67,32,92162,11059.44,Quito,Maria Jose,fbed294e-5477-4673-945d-396761a4d4c1,Equipo 3,Ciudad Celeste,1,Marinella,3,PAGO,DEPARTAMENTO
68,200,21277,2340.47,Quito,Maria Fernanda,90a8ca42-a3da-418a-88a2-1f31e482dbc2,Equipo 1,Playa Arenas,1,Isola,3,PAGO,VILLA
69,132,157627,12610.16,Naranjito,Maria Jose,27086038-01b7-471b-9c76-46f719275e57,Equipo 2,Parque Azul,4,Isola,2,RESCILIADO,VILLA
70,59,111703,12287.33,Santo Domingo,Maria Carmen,5acbba5a-fa3b-4e4d-859c-2fb275161e9d,Equipo 1,Playa Arenas,2,Ventto,1,PAGO,VILLA
71,159,94102,11292.24,Cuenca,Maria Fernanda,8e42202c-b6ce-45a6-8dd1-620f80db7ab8,Equipo 1,Parque Azul,3,Spiaggia,2,PAGO,DEPARTAMENTO
72,37,26361,2899.71,Guayaquil,Miguel Angel,bfa12de3-b716-41d2-960e-74b1996df542,Equipo 2,Ciudad Celeste,5,Ventto,2,PAGO,VILLA
73,177,238491,31003.83,Cuenca,Carlos,8a7ad3a6-b14e-4e35-9213-8474489ae2a7,Equipo 1,Playa Arenas,1,Spiaggia,1,PAGO,DEPARTAMENTO
74,94,125200,11268,Naranjito,Maria Fernanda,0a368abc-7f77-4446-a7ab-ab99f50c7d0d,Equipo 3,Parque Azul,0,Acqua,3,PAGO,VILLA
75,117,8716,1220.24,Cuenca,Maria Carmen,02365ad4-e64e-476f-9878-af61b9eed8d0,Equipo 1,Parque Azul,3,Notte,3,PAGO,VILLA
76,173,140506,15455.66,Naranjito,Maria Carmen,af9d86d0-3f50-44cc-a3ed-fff6811a089d,Equipo 1,Parque Azul,5,Acqua,2,PAGO,VILLA
77,190,144607,17352.84,Santo Domingo,Maria Jose,9c262b88-b913-40df-b0d5-4631c69c3d5b,Equipo 1,Playa Arenas,3,Notte,2,PAGO,VILLA
78,189,239288,28714.56,Santo Domingo,Carlos,50d767e1-e5e0-4789-ab3a-b8aa289f5ae2,Equipo 3,Playa Arenas,5,Spiaggia,1,PAGO,VILLA
79,162,197615,25689.95,Naranjito,Juan Carlos,2f4d1110-43a9-42a9-bddb-634e6465c3b0,Equipo 1,Playa Arenas,4,Notte,3,RESCILIADO,DEPARTAMENTO
80,71,89445,11627.85,Santo Domingo,Carlos,ba2c5b53-a121-4cd4-9edb-33da733ccb43,Equipo 3,Playa Arenas,2,Spiaggia,3,PAGO,DEPARTAMENTO
81,187,202150,12129,Cuenca,Juan Carlos,ff51672c-a2e1-4824-83d8-a8dd5045e100,Equipo 1,Playa Arenas,0,Acqua,2,PAGO,VILLA
82,150,210991,18989.19,Guayaquil,Maria Fernanda,9d6cdf99-2d8a-4305-8368-0692dc8ecffd,Equipo 2,Ciudad Celeste,2,Ventto,1,PAGO,VILLA
83,42,98559,5913.54,Santo Domingo,Maria Carmen,0a8862a9-fea2-4069-b5e8-13fc13fee6dd,Equipo 1,Playa Arenas,4,Ventto,1,PAGO,DEPARTAMENTO
84,161,152955,7647.75,Guayaquil,Maria Jose,67a1d847-6c0e-4467-81be-9bf2c774ad54,Equipo 2,Playa Arenas,5,Marinella,2,RESCILIADO,VILLA
85,158,189787,17080.83,Guayaquil,Carlos,2f33a0e6-ebe7-4edc-97df-2be7ea26f819,Equipo 1,Ciudad Celeste,5,Isola,1,PAGO,DEPARTAMENTO
86,116,194616,29192.4,Quito,Maria Fernanda,ce5a21f1-ef49-4183-a31e-14aeef8ad7c5,Equipo 2,Parque Azul,3,Marinella,1,RESCILIADO,VILLA
87,93,77966,5457.62,Santo Domingo,Maria Fernanda,3ecbc6f8-e027-4ffb-9f6e-95f1ae2f3330,Equipo 1,Parque Azul,3,Marinella,2,PAGO,VILLA
88,116,71976,3598.8,Machala,Maria Carmen,8d81b077-3731-47f3-8eb3-8983e1b032e1,Equipo 2,Ciudad Celeste,4,Isola,1,PAGO,DEPARTAMENTO
89,85,44691,6256.74,Naranjito,Maria Jose,bfa20aa7-7aca-4ba2-952a-4c8e6da4b375,Equipo 2,Ciudad Celeste,2,Ventto,3,RESCILIADO,DEPARTAMENTO
90,55,107703,10770.3,Machala,Maria Fernanda,a51267ea-7870-429b-9ad9-dd565436dcf6,Equipo 3,Ciudad Celeste,0,Isola,3,PAGO,DEPARTAMENTO
91,194,163800,14742,Santo Domingo,Maria Jose,72cb4780-a00d-4025-b472-29b2cf23105c,Equipo 3,Ciudad Celeste,5,Notte,1,PAGO,VILLA
92,72,100432,12051.84,Machala,Juan Carlos,4987ced6-4b48-4e5b-b1cd-46077965d37c,Equipo 1,Ciudad Celeste,3,Notte,1,RESCILIADO,VILLA
93,59,209017,25082.04,Quito,Carlos,05096e60-0e11-4364-9468-1c47459df2bb,Equipo 3,Playa Arenas,0,Notte,2,PAGO,DEPARTAMENTO
94,47,15057,1204.56,Naranjito,Maria Carmen,ddc2c2a9-0320-4ec4-aad9-78125e8fe46d,Equipo 2,Parque Azul,2,Ventto,1,RESCILIADO,DEPARTAMENTO
95,193,46754,3740.32,Santo Domingo,Maria Carmen,ab571c77-db02-4308-8f4a-39639c588ae3,Equipo 2,Playa Arenas,1,Notte,1,PAGO,DEPARTAMENTO
96,122,149036,19374.68,Naranjito,Carlos,4580a5ee-77d7-4279-9f0b-a22a132c772c,Equipo 1,Parque Azul,5,Marinella,1,RESCILIADO,VILLA
97,100,138858,20828.7,Cuenca,Juan Carlos,9d7d2e68-dfb7-43c6-bde4-a00d28bf7468,Equipo 2,Parque Azul,0,Spiaggia,1,PAGO,VILLA
98,101,206784,26881.92,Machala,Maria Carmen,a8305147-4b4d-474c-b90e-99b068d9308e,Equipo 1,Ciudad Celeste,4,Acqua,2,PAGO,VILLA
99,186,66143,7275.73,Machala,Juan Carlos,3f114305-a2e0-44ea-b490-91dbdc282f51,Equipo 2,Ciudad Celeste,0,Acqua,2,PAGO,VILLA
100,91,167834,10070.04,Guayaquil,Maria Fernanda,a7ff9451-5fdd-4c6a-9595-7d5f4e89b6b7,Equipo 2,Playa Arenas,5,Isola,2,PAGO,VILLA
101,52,43775,5690.75,Naranjito,Carlos,2ac98918-cc28-4fdb-9fe7-649ad6ef3445,Equipo 1,Playa Arenas,0,Isola,1,PAGO,VILLA
102,160,23511,1410.66,Guayaquil,Maria Fernanda,3f4f9cdb-7b5c-4a75-95a6-dab9e5493cd8,Equipo 2,Ciudad Celeste,4,Spiaggia,2,RESCILIADO,DEPARTAMENTO
103,174,61673,8634.22,Machala,Maria Carmen,19efcc8c-2580-4bec-a3f7-7c4ac910a69e,Equipo 3,Parque Azul,4,Isola,3,PAGO,DEPARTAMENTO
104,190,59956,5995.6,Quito,Juan Carlos,c0bb53b8-b86d-4f02-9094-6b0ff0c5c48a,Equipo 1,Parque Azul,4,Notte,3,RESCILIADO,VILLA
105,128,63351,8869.14,Naranjito,Carlos,d9a1e455-dc02-405f-aa1e-b771a30bd08c,Equipo 3,Ciudad Celeste,4,Spiaggia,3,RESCILIADO,DEPARTAMENTO
106,78,13437,1612.44,Quito,Maria Fernanda,954ad1ee-7807-45c0-8dc2-b55c1756a937,Equipo 3,Ciudad Celeste,5,Notte,2,PAGO,VILLA
107,161,144528,8671.68,Santo Domingo,Maria Jose,b6019b6a-263b-4ab2-ab78-ddfe6fd91de8,Equipo 2,Ciudad Celeste,4,Ventto,2,RESCILIADO,VILLA
108,187,152324,9139.44,Santo Domingo,Maria Jose,22f9509c-502b-4cea-b778-e7d6df95e120,Equipo 2,Playa Arenas,3,Notte,3,PAGO,VILLA
109,147,165352,23149.28,Santo Domingo,Miguel Angel,a0262ffc-c5c6-44ea-849e-0ea239be0532,Equipo 3,Playa Arenas,2,Marinella,1,PAGO,DEPARTAMENTO
110,65,209680,27258.4,Santo Domingo,Juan Carlos,ec083ee3-5475-4dcd-beda-4dd21e467717,Equipo 1,Parque Azul,0,Notte,2,PAGO,DEPARTAMENTO
111,188,201056,14073.92,Cuenca,Maria Jose,f2e2d7dc-10ad-4b3c-bab8-f327a25f472d,Equipo 2,Parque Azul,2,Ventto,3,RESCILIADO,DEPARTAMENTO
112,138,28512,3706.56,Machala,Carlos,bd6f5cb8-ac21-4259-a5bd-b2f443340fb2,Equipo 1,Parque Azul,3,Notte,2,RESCILIADO,DEPARTAMENTO
113,125,23158,1852.64,Quito,Maria Jose,4c61a88e-51d4-4cf0-a800-44295a4754c1,Equipo 3,Ciudad Celeste,4,Spiaggia,3,RESCILIADO,DEPARTAMENTO
114,113,58189,6400.79,Cuenca,Carlos,3c9d800b-d8aa-4b9e-aaed-5cfaa7729331,Equipo 1,Ciudad Celeste,2,Marinella,2,PAGO,DEPARTAMENTO
115,156,232782,30261.66,Cuenca,Maria Carmen,7caf2041-7ca6-4aa1-8b02-be570e8c4e89,Equipo 3,Parque Azul,1,Spiaggia,3,RESCILIADO,DEPARTAMENTO
116,115,147228,16195.08,Cuenca,Maria Fernanda,737d1a67-7f02-4245-9417-d022c033a254,Equipo 2,Parque Azul,2,Spiaggia,2,PAGO,VILLA
117,34,126657,11399.13,Guayaquil,Carlos,c2dac63a-19f6-44b7-8644-af2fdb0e24c2,Equipo 3,Playa Arenas,5,Isola,1,PAGO,DEPARTAMENTO
118,79,100700,14098,Santo Domingo,Miguel Angel,00f3c8d4-c9cb-4b1b-bd6a-fa30cecc5407,Equipo 1,Parque Azul,0,Isola,3,PAGO,VILLA
119,134,240587,21652.83,Cuenca,Maria Fernanda,411f6fa4-a982-406d-9881-18c7152d24d9,Equipo 3,Ciudad Celeste,5,Marinella,3,PAGO,VILLA
120,104,170463,22160.19,Santo Domingo,Maria Fernanda,70a5d0b3-6e33-4e3b-b102-813f96d8b2fc,Equipo 2,Ciudad Celeste,2,Isola,3,PAGO,VILLA
121,149,206565,30984.75,Naranjito,Miguel Angel,7e1c6256-b615-4c10-8266-9c86697b99c7,Equipo 1,Ciudad Celeste,0,Marinella,3,PAGO,VILLA
122,31,157092,17280.12,Naranjito,Maria Carmen,047ece64-5b51-4688-aa6f-55bac9f6f368,Equipo 2,Parque Azul,3,Isola,3,PAGO,DEPARTAMENTO
123,96,142119,12790.71,Naranjito,Miguel Angel,9762df93-29fa-41e1-bc99-0b0c5a9569a9,Equipo 2,Playa Arenas,2,Isola,1,PAGO,VILLA
124,140,176599,21191.88,Naranjito,Maria Fernanda,0c2593fd-903f-4290-b4b7-627757c1e000,Equipo 3,Ciudad Celeste,2,Acqua,1,PAGO,DEPARTAMENTO
125,136,245878,22129.02,Santo Domingo,Maria Fernanda,7cea17b1-0990-41d3-a19e-9fb4279ab5f2,Equipo 3,Ciudad Celeste,5,Notte,3,RESCILIADO,DEPARTAMENTO
126,31,62601,8138.13,Machala,Maria Fernanda,6851e20a-a72e-459f-a76a-724e0be55c9e,Equipo 1,Parque Azul,3,Isola,1,PAGO,VILLA
127,85,97820,6847.4,Machala,Carlos,ca847947-f272-4d1c-b3fb-6fa49344a64f,Equipo 2,Playa Arenas,0,Notte,2,PAGO,DEPARTAMENTO
128,75,227453,22745.3,Machala,Maria Carmen,8a7ad3de-2185-4010-b5da-4bf767647f53,Equipo 3,Ciudad Celeste,2,Acqua,2,PAGO,VILLA
129,82,25288,1770.16,Quito,Maria Carmen,5f02d1d7-9c3a-4f86-bef5-8ae739b98d45,Equipo 2,Parque Azul,5,Acqua,1,PAGO,VILLA
130,62,187213,14977.04,Naranjito,Juan Carlos,94e4adbf-dbe3-4e42-93ac-3415c3bb53ac,Equipo 2,Ciudad Celeste,2,Acqua,3,PAGO,DEPARTAMENTO
131,39,232761,32586.54,Cuenca,Miguel Angel,4c11a8da-8276-4124-babd-b3e3c6a50fcc,Equipo 2,Parque Azul,2,Spiaggia,3,RESCILIADO,DEPARTAMENTO
132,189,100880,9079.2,Guayaquil,Maria Fernanda,1ba29c7e-0c18-456f-b4e8-9b23dc36d932,Equipo 1,Parque Azul,5,Spiaggia,1,RESCILIADO,VILLA
133,38,148546,17825.52,Quito,Miguel Angel,54bc7201-c83a-4606-891a-a66c0071c03a,Equipo 1,Parque Azul,1,Marinella,1,PAGO,VILLA
134,64,18471,2401.23,Naranjito,Maria Jose,254baa01-ebac-43a4-bd37-55bcdf372825,Equipo 2,Parque Azul,5,Acqua,3,PAGO,VILLA
135,146,190830,19083,Quito,Miguel Angel,e819388d-d2a6-4d6e-85d5-480e756335e9,Equipo 1,Parque Azul,0,Notte,2,PAGO,VILLA
136,100,56625,7927.5,Cuenca,Maria Fernanda,a6caa7e5-af15-4b1d-a75a-1100ebf1a71f,Equipo 3,Parque Azul,2,Notte,1,PAGO,VILLA
137,107,200260,18023.4,Cuenca,Maria Jose,86211c4a-dd6e-4479-9df5-d789e9fa98b8,Equipo 2,Playa Arenas,4,Spiaggia,3,RESCILIADO,DEPARTAMENTO
138,187,126116,18917.4,Naranjito,Maria Fernanda,1772b56a-6936-4ece-a272-7a76241c9806,Equipo 2,Ciudad Celeste,2,Spiaggia,3,RESCILIADO,VILLA
139,153,84097,8409.7,Guayaquil,Maria Fernanda,578c2619-ff05-484e-88d1-d4aec8b78e1b,Equipo 3,Parque Azul,5,Isola,2,PAGO,DEPARTAMENTO
140,74,225327,18026.16,Guayaquil,Maria Fernanda,b4f89963-7864-42be-8e32-324c5c02414b,Equipo 2,Parque Azul,2,Acqua,1,RESCILIADO,VILLA
141,154,152264,18271.68,Guayaquil,Miguel Angel,353ab401-173c-4efb-91f0-4e7bc33b5312,Equipo 2,Ciudad Celeste,4,Isola,2,RESCILIADO,VILLA
142,158,125046,10003.68,Santo Domingo,Miguel Angel,d519170a-0a79-4c04-b232-d1bf84f63b4b,Equipo 2,Parque Azul,1,Marinella,1,RESCILIADO,VILLA
143,96,177368,17736.8,Naranjito,Maria Jose,b9e87357-1745-4a52-954a-8fbd98bac1af,Equipo 3,Playa Arenas,0,Isola,3,PAGO,DEPARTAMENTO
144,136,99146,5948.76,Quito,Carlos,9d98fbcf-45ee-4214-afe9-337ecbc6ddaf,Equipo 1,Ciudad Celeste,0,Notte,3,PAGO,VILLA
145,153,198258,19825.8,Machala,Maria Fernanda,c51356cb-2e40-4146-bcb2-47955216a545,Equipo 2,Ciudad Celeste,5,Ventto,3,RESCILIADO,DEPARTAMENTO
146,169,74233,9650.29,Naranjito,Maria Carmen,abfd3d90-8f28-41dc-a52f-f764b359a000,Equipo 1,Parque Azul,4,Notte,2,RESCILIADO,VILLA
147,95,234216,28105.92,Machala,Maria Carmen,603c35d8-2c48-4905-907b-45d89125bac8,Equipo 1,Ciudad Celeste,0,Spiaggia,1,RESCILIADO,VILLA
148,131,145730,21859.5,Santo Domingo,Carlos,6a310845-5917-42e0-9420-c6d2e79486d4,Equipo 2,Playa Arenas,2,Acqua,1,RESCILIADO,DEPARTAMENTO
149,146,232813,25609.43,Quito,Maria Carmen,1f8e60ac-41c2-4e21-9df8-8245f016a4f5,Equipo 3,Ciudad Celeste,0,Notte,3,PAGO,DEPARTAMENTO
150,164,24721,2472.1,Santo Domingo,Maria Carmen,d873c5a5-cb83-439c-8d3a-de9c34cee5d8,Equipo 1,Playa Arenas,1,Notte,3,PAGO,VILLA
